comparison,lwr,upr,p adj
actP_3-feoB,-1.41786572,3.13637682,0.999952514
BAL062_01495-feoB,-0.978172724,3.576069816,0.952504725
yadH-BAL062_00226,-2.262492187,2.291750352,1
czcA_1-BAL062_00226,-2.124478887,2.429763652,1
yccS_2-BAL062_00226,-2.045958761,2.508283779,1
ttg2A-BAL062_00226,-2.027729194,2.526513346,1
acrR_1-BAL062_00226,-2.024165914,2.530076626,1
mlaC-BAL062_00226,-1.977853852,2.576388688,1
ttg2C-BAL062_00226,-1.965560899,2.58868164,1
mdtA-BAL062_00226,-1.964668831,2.589573708,1
znuA-BAL062_00226,-1.963479368,2.590763172,1
yadG-BAL062_00226,-1.937199925,2.617042614,1
zur-BAL062_00226,-1.846611966,2.707630574,1
ttg2B-BAL062_00226,-1.803202003,2.751040537,1
znuB-BAL062_00226,-1.791279612,2.762962927,1
BAL062_00181-BAL062_00226,-1.778725212,2.775517327,1
znuC-BAL062_00226,-1.76923357,2.78500897,1
BAL062_01982-BAL062_00226,-1.647656924,2.906585615,0.999999969
hmrR_2-BAL062_00226,-1.627031972,2.927210568,0.999999928
ytfL-BAL062_00226,-1.513966043,3.040276496,0.99999654
actP_3-BAL062_00226,-1.478955029,3.07528751,0.999990423
BAL062_01495-BAL062_00226,-1.039262033,3.514980506,0.973920536
czcA_1-yadH,-2.13910797,2.41513457,1
yccS_2-yadH,-2.060587843,2.493654696,1
ttg2A-yadH,-2.042358276,2.511884263,1
acrR_1-yadH,-2.038794996,2.515447543,1
mlaC-yadH,-1.992482934,2.561759606,1
ttg2C-yadH,-1.980189982,2.574052558,1
mdtA-yadH,-1.979297913,2.574944626,1
znuA-yadH,-1.97810845,2.576134089,1
yadG-yadH,-1.951829008,2.602413532,1
zur-yadH,-1.861241048,2.693001491,1
ttg2B-yadH,-1.817831085,2.736411454,1
znuB-yadH,-1.805908695,2.748333845,1
BAL062_00181-yadH,-1.793354295,2.760888245,1
znuC-yadH,-1.783862652,2.770379887,1
BAL062_01982-yadH,-1.662286007,2.891956533,0.999999983
hmrR_2-yadH,-1.641661054,2.912581486,0.99999996
ytfL-yadH,-1.528595126,3.025647414,0.999997791
actP_3-yadH,-1.493584112,3.060658428,0.999993682
BAL062_01495-yadH,-1.053891115,3.500351424,0.977708965
yccS_2-czcA_1,-2.198601143,2.355641397,1
ttg2A-czcA_1,-2.180371576,2.373870963,1
acrR_1-czcA_1,-2.176808296,2.377434243,1
mlaC-czcA_1,-2.130496234,2.423746306,1
ttg2C-czcA_1,-2.118203282,2.436039258,1
mdtA-czcA_1,-2.117311213,2.436931326,1
znuA-czcA_1,-2.11612175,2.438120789,1
yadG-czcA_1,-2.089842308,2.464400232,1
